jahr;stichtag;stadtbezirk_id;stadtbezirk_name;einw_ges;einw_alter_unter1j;einw_alter_1bis_unter3j;einw_alter_3bis_unter5j;einw_alter_5bis_unter6j;einw_alter_6bis_unter10j;einw_alter_10bis_unter14j;einw_alter_14bis_unter15j;einw_alter_15bis_unter18j;einw_alter_18bis_unter21j;einw_alter_21bis_unter25j;einw_alter_25bis_unter30j;einw_alter_30bis_unter40j;einw_alter_40bis_unter45j;einw_alter_45bis_unter60j;einw_alter_60bis_unter65j;einw_alter_65bis_unter70j;einw_alter_70bis_unter75j;einw_alter_75j_u_aelter;durchschnittsalter_in_jahren
2023;20231231;057110000;Mitte;81616;724;1429;1357;697;2499;2410;619;1999;2666;5963;9270;14165;5195;15028;4684;3705;3001;6205;40,8
2023;20231231;057110001;Schildesche;42595;340;780;751;384;1500;1456;320;1052;1451;2918;3803;6055;2539;7911;2727;2208;1843;4557;42,9
2023;20231231;057110002;Gadderbaum;10210;62;156;167;66;300;347;98;330;341;516;657;1357;589;2271;828;593;425;1107;45
2023;20231231;057110003;Brackwede;40873;335;853;894;404;1625;1482;368;1243;1257;1834;2560;5513;2747;8469;2705;2267;1827;4490;43,7
2023;20231231;057110004;Dornberg;20297;126;310;352;206;804;722;188;470;741;1285;1339;2433;1228;3973;1417;1250;1036;2417;44,6
2023;20231231;057110005;Jöllenbeck;23309;192;470;482;271;1032;981;222;703;675;885;1139;2795;1470;4721;1795;1439;1230;2807;44,9
2023;20231231;057110006;Heepen;48251;428;1015;1077;530;2130;2214;522;1765;1762;2161;2756;6022;2963;9534;3270;2717;2366;5019;42,8
2023;20231231;057110007;Stieghorst;33110;313;690;707;365;1463;1366;326;1065;1142;1623;2052;4258;2023;6673;2238;1900;1514;3392;42,9
2023;20231231;057110008;Sennestadt;22415;180;477;531;264;1022;950;250;779;770;927;1248;2891;1414;4388;1603;1279;978;2464;43,2
2023;20231231;057110009;Senne;21333;157;436;443;239;926;882;235;692;658;855;1107;2623;1388;4470;1589;1300;1036;2297;44,1
2023;20230630;057110000;Mitte;81959;671;1509;1376;688;2522;2514;613;1987;2730;6105;9296;14070;5217;15161;4575;3698;2968;6259;40,7
2023;20230630;057110001;Schildesche;42580;347;784;744;394;1510;1410;345;1063;1369;2912;3857;5961;2578;7984;2685;2191;1837;4609;43
2023;20230630;057110002;Gadderbaum;10285;57;168;168;61;320;359;101;314;357;479;679;1379;587;2323;788;603;413;1129;44,9
2023;20230630;057110003;Brackwede;41095;361;863;882;391;1651;1482;380;1239;1246;1831;2583;5539;2809;8545;2687;2256;1828;4522;43,7
2023;20230630;057110004;Dornberg;20111;127;314;356;209;773;722;180;487;747;1255;1304;2367;1223;3981;1372;1248;1038;2408;44,7
