jahr;stadtbezirk_id;stadtbezirk_name;wanderung_ueber_stadtgrenze_zuzug;wanderung_ueber_stadtgrenze_fortzug;wanderung_ueber_stadtgrenze_saldo;wanderung_innerstaedtisch_zuzug;wanderung_innerstaedtisch_fortzug;wanderung_innerstaedtisch_saldo;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_mitte;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_schildesche;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_gadderbaum;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_brackwede;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_dornberg;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_joellenbeck;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_heepen;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_stieghorst;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_sennestadt;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_senne;raeumliche_bevoelkerungsbewegung_saldo;geburten;sterbefaelle;natuerliche_bevoelkerungsbewegung_saldo
2014;57110000;Mitte;5564;4790;774;7183;7811;-628;0;-200;15;-60;-27;-23;-205;-83;-39;-6;146;807;750;57
2014;57110001;Schildesche;2215;2003;212;3314;3193;121;200;0;-9;-28;-11;-40;6;7;-16;12;333;373;476;-103
2014;57110002;Gadderbaum;560;435;125;837;895;-58;-15;9;0;-7;1;-8;-8;1;5;-36;67;82;162;-80
2014;57110003;Brackwede;1664;1433;231;2798;2744;54;60;28;7;0;-15;6;13;-9;-78;42;285;360;413;-53
2014;57110004;Dornberg;821;836;-15;1032;987;45;27;11;-1;15;0;-5;12;-4;2;-12;30;151;183;-32
2014;57110005;Jöllenbeck;733;773;-40;1231;1175;56;23;40;8;-6;5;0;12;0;-9;-17;16;223;217;6
2014;57110006;Heepen;1418;1454;-36;3079;2868;211;205;-6;8;-13;-12;-12;0;47;-2;-4;175;482;467;15
2014;57110007;Stieghorst;1196;1193;3;1989;2009;-20;83;-7;-1;9;4;0;-47;0;-37;-24;-17;334;309;25
2014;57110008;Sennestadt;800;822;-22;1468;1276;192;39;16;-5;78;-2;9;2;37;0;18;170;213;255;-42
2014;57110009;Senne;633;651;-18;1260;1233;27;6;-12;36;-42;12;17;4;24;-18;0;9;158;205;-47
